team,stadium,latitude,longitude,altitude_m,capacity
Werder Bremen,Weserstadion,53.0666,8.8376,2,42100
West Brom,The Hawthorns,52.5092,-1.9640,167,26688
West Ham,London Stadium,51.5386,-0.0163,10,60000
Wigan,DW Stadium,53.5458,-2.6553,45,25138
Wimbledon,Selhurst Park,51.3983,-0.0855,64,25486
Wolfsburg,Volkswagen Arena,52.4326,10.8040,63,30000
Wolves,Molineux,52.5904,-2.1301,148,32050
Wrexham,Racecourse Ground,53.0474,-2.9921,36,10771
Wuppertaler,Stadion am Zoo,51.2539,7.1427,248,20000
Wurzburger Kickers,flyeralarm Arena,49.7982,9.9379,180,12500
Wycombe,Adams Park,51.6308,-0.8008,112,10137
Xerez,Estadio Municipal de Chapín,36.7001,-6.1240,15,20000
Yeovil,Huish Park,50.9405,-2.6466,28,9565
Zaragoza,La Romareda,41.6499,-0.8993,200,34596
Zwickau,GGZ Arena,50.7167,12.5017,276,10000
